total_cells,active_cells,rss_kb,cpu_pct,fds,p50_us,p95_us,p99_us,hit_rate,active_conns
10000,32,8176,52.1,106,24.67,47.67,66.21,100.00,32
10000,100,17384,48.4,310,25.58,54.58,68.71,100.00,100
10000,500,68332,33.7,1510,24.88,51.12,68.71,100.00,500
10000,1000,132460,50.7,3010,24.92,50.33,64.79,100.00,1000
10000,5000,645084,66.0,15010,25.50,51.42,65.08,100.00,5000
100000,32,487772,53.6,106,24.17,47.71,63.04,100.00,32
100000,100,489820,44.2,310,31.12,59.75,82.00,100.00,100
100000,500,502620,70.6,1510,24.67,45.58,58.62,100.00,500
100000,1000,518748,68.2,3010,24.79,50.58,65.71,100.00,1000
100000,5000,649052,69.4,15010,34.00,61.33,80.58,100.00,5000
1000000,32,504084,50.6,106,25.21,51.21,66.00,100.00,32
1000000,100,506260,51.7,310,24.92,48.67,64.42,100.00,100
1000000,500,519188,69.4,1510,24.58,48.58,62.46,100.00,500
1000000,1000,535060,60.7,3010,27.33,56.75,72.04,100.00,1000
1000000,5000,664980,56.4,15010,29.75,61.54,82.25,100.00,5000
