op,concurrency,throughput_ops,p50_us,p95_us,p99_us,lock_avg_ns,lock_max_ns,queue_max
GET (cache hit),1,4955376,0.17,0.38,1.21,0,0,0
GET (cache hit),8,8038743,0.50,0.96,1.67,0,0,0
GET (cache hit),32,8106070,0.38,1.12,5.50,0,0,0
GET (cache hit),128,8028989,0.33,0.71,1.83,0,0,0
GET (cache hit),512,7903501,0.33,0.62,1.29,0,0,0
SET (sqlite write),1,20811,41.96,73.46,105.67,45,22417,1
SET (sqlite write),8,20454,376.21,565.96,769.79,342299,4594250,8
SET (sqlite write),32,20264,1516.29,1966.71,2223.17,1529198,2786250,32
SET (sqlite write),128,21156,5950.75,6592.88,8233.17,5992879,16182709,128
SET (sqlite write),512,21506,23603.33,25128.54,27089.33,23600163,28774125,512
mixed SQL/KV,1,45812,19.29,58.58,82.88,43,13459,1
mixed SQL/KV,8,45508,108.04,402.79,455.83,307739,675042,8
mixed SQL/KV,32,45517,179.71,1564.17,1698.88,1362828,2343250,32
mixed SQL/KV,128,46299,5.04,6040.96,6403.88,5505941,6758000,128
mixed SQL/KV,512,45432,8.12,24081.58,24813.00,22420859,29570125,512
